Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
1,1,3,police,police
2,2,5,aide,help
3,3,8,mois,month
4,5,10,laisser,let
5,6,12,mettre,to put
6,7,15,eux,them
7,8,17,chaque,each
8,10,20,devrait,should
9,11,23,heures,hours
10,12,24,vont,will
11,13,25,pendant,while
12,14,26,revoir,meet again
13,15,27,aucune,any
14,16,28,place,square
15,17,29,parle,speak
16,18,30,compris,understood
19,21,39,leurs,their
20,22,40,donné,given
21,23,44,yeux,eyes
22,24,45,façon,way
23,25,48,trouve,find
24,26,49,premier,first
25,27,50,perdu,lost
26,28,52,première,first
27,29,53,côté,side
28,30,55,vieux,old
29,31,56,sois,be
30,32,58,matin,morning
31,33,59,tellement,so much
32,34,60,enfant,child
33,36,64,pardon,sorry
34,37,66,devant,in front of
36,39,68,minutes,minutes
37,40,69,demandé,request
38,41,70,chambre,bedroom
39,42,74,aimerais,would like to
40,43,75,aujourd'hui,today
41,44,76,mari,husband
42,45,77,cause,cause
43,46,79,espère,hope
44,47,80,eau,water
45,48,82,parti,left
46,49,84,boulot,job
47,50,85,arrêter,Stop
48,51,86,dirait,would say
49,52,87,terre,Earth
50,53,88,compte,account
51,54,89,donne,given
52,55,90,loin,far
53,56,91,fin,end
54,57,94,gros,large
55,58,95,plutôt,rather
56,59,96,aura,will have
57,60,98,jouer,to play
